korean	11558
chinese-simplified	7962
chinese-hongkong	7748
tangut	7166
japanese	6903
chinese-traditional	6624
egyptian-hieroglyphs	5340
symbols	3871
math	2702
arabic	1663
yi	1535
cuneiform	1469
latin-ext	1366
canadian-aboriginal	967
signwriting	907
bamum	892
anatolian-hieroglyphs	818
music	792
ethiopic	759
khitan-small-script	707
cyrillic-ext	682
nushu	637
linear-a	621
greek-ext	603
kana-extended	543
vai	535
linear-b	503
braille	491
myanmar	482
devanagari	463
tibetan	453
mende-kikakui	449
mongolian	448
coptic	422
znamenny	420
cherokee	413
georgian	412
symbols2	409
duployan	389
miao	385
glagolitic	377
hebrew	377
syriac	372
greek	370
malayalam	367
balinese	366
tai-tham	366
pahawh-hmong	365
meroitic	358
grantha	356
brahmi	353
bengali	352
sinhala	352
old-hungarian	349
cypriot	347
sharada	347
kannada	346
gujarati	344
telugu	344
tirhuta	339
vietnamese	338
cypro-minoan	336
cyrillic	336
newa	336
oriya	336
adlam	335
bhaiksuki	335
armenian	334
gurmukhi	334
tulu-tigalari	334
siddham	330
chakma	329
javanese	329
phags-pa	329
kaithi	328
modi	327
thai	327
medefaidrin	326
meroitic-cursive	325
indic-siyaq-numbers	324
runic	324
tangsa	324
khojki	323
cham	322
kawi	322
warang-citi	322
dogra	321
lao	321
nandinagari	321
new-tai-lue	321
saurashtra	320
khudawadi	319
soyombo	319
takri	318
meetei-mayek	317
deseret	315
masaram-gondi	315
tamil	313
lepcha	312
tai-viet	312
sundanese	311
nko	310
old-turkic	310
osage	310
zanabazar-square	310
thaana	309
limbu	308
caucasian-albanian	307
dives-akuru	307
garay	307
kharoshthi	307
nyiakeng-puachue-hmong	306
vithkuqi	305
elbasan	304
marchen	304
gunjala-gondi	303
tifinagh	303
ahom	301
avestan	300
mahajani	299
syloti-nagri	298
samaritan	297
ottoman-siyaq-numbers	296
yezidi	296
wancho	295
batak	294
gurung-khema	294
hanifi-rohingya	294
kirat-rai	293
pau-cin-hau	292
manichaean	291
tai-le	291
todhri	291
lisu	288
carian	287
kayah-li	287
tamil-supplement	286
multani	285
old-persian	285
ol-chiki	284
old-permic	284
shavian	283
sunuwar	283
ol-onal	281
sogdian	281
mro	278
nag-mundari	277
nabataean	275
old-sogdian	275
osmanya	275
rejang	275
old-italic	274
bassa-vah	272
sora-sompeng	271
buginese	269
mandaic	268
meroitic-hieroglyphs	268
psalter-pahlavi	268
old-north-arabian	267
old-south-arabian	267
palmyrene	267
imperial-aramaic	266
toto	266
ugaritic	266
inscriptional-parthian	265
lycian	265
gothic	264
ogham	264
phoenician	264
chorasmian	263
lydian	263
old-uyghur	263
tagalog	263
hatran	262
inscriptional-pahlavi	262
hanunoo	261
buhid	260
makasar	260
elymaic	258
tagbanwa	258
mayan-numerals	255
khmer	250
latin	235
