codepoint	unicode_name	suggested_subsets
U+00A1	INVERTED EXCLAMATION MARK	latin
U+00A2	CENT SIGN	latin
U+00A3	POUND SIGN	latin
U+00A4	CURRENCY SIGN	latin
U+00A5	YEN SIGN	latin
U+00A6	BROKEN BAR	latin
U+00A8	DIAERESIS	latin
U+00A9	COPYRIGHT SIGN	latin
U+00AA	FEMININE ORDINAL INDICATOR	latin
U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	adlam,hanifi-rohingya,khmer,latin,syriac
U+00AE	REGISTERED SIGN	latin
U+00AF	MACRON	latin
U+00B0	DEGREE SIGN	latin,syriac
U+00B2	SUPERSCRIPT TWO	latin
U+00B3	SUPERSCRIPT THREE	latin
U+00B4	ACUTE ACCENT	latin
U+00B5	MICRO SIGN	latin
U+00B6	PILCROW SIGN	latin
U+00B7	MIDDLE DOT	avestan,carian,coptic,duployan,elbasan,georgian,glagolitic,gothic,gunjala-gondi,latin,lydian,mahajani,newa,old-permic,shavian
U+00B8	CEDILLA	latin
U+00B9	SUPERSCRIPT ONE	latin
U+00BA	MASCULINE ORDINAL INDICATOR	latin
U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	adlam,hanifi-rohingya,khmer,latin,syriac
U+00BC	VULGAR FRACTION ONE QUARTER	latin
U+00BD	VULGAR FRACTION ONE HALF	latin
U+00BE	VULGAR FRACTION THREE QUARTERS	latin
U+00BF	INVERTED QUESTION MARK	latin
U+00C0	LATIN CAPITAL LETTER A WITH GRAVE	latin
U+00C1	LATIN CAPITAL LETTER A WITH ACUTE	latin
U+00C2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX	latin
U+00C3	LATIN CAPITAL LETTER A WITH TILDE	latin
U+00C4	LATIN CAPITAL LETTER A WITH DIAERESIS	latin
U+00C5	LATIN CAPITAL LETTER A WITH RING ABOVE	latin
U+00C6	LATIN CAPITAL LETTER AE	latin
U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	latin
U+00C8	LATIN CAPITAL LETTER E WITH GRAVE	latin
U+00C9	LATIN CAPITAL LETTER E WITH ACUTE	latin
U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	latin
U+00CB	LATIN CAPITAL LETTER E WITH DIAERESIS	latin
U+00CC	LATIN CAPITAL LETTER I WITH GRAVE	latin
U+00CD	LATIN CAPITAL LETTER I WITH ACUTE	latin
U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	latin
U+00CF	LATIN CAPITAL LETTER I WITH DIAERESIS	latin
U+00D0	LATIN CAPITAL LETTER ETH	latin
U+00D1	LATIN CAPITAL LETTER N WITH TILDE	latin
U+00D2	LATIN CAPITAL LETTER O WITH GRAVE	latin
U+00D3	LATIN CAPITAL LETTER O WITH ACUTE	latin
U+00D4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	latin
U+00D5	LATIN CAPITAL LETTER O WITH TILDE	latin
U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS	latin
U+00D8	LATIN CAPITAL LETTER O WITH STROKE	latin
U+00D9	LATIN CAPITAL LETTER U WITH GRAVE	latin
U+00DA	LATIN CAPITAL LETTER U WITH ACUTE	latin
U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	latin
U+00DC	LATIN CAPITAL LETTER U WITH DIAERESIS	latin
U+00DD	LATIN CAPITAL LETTER Y WITH ACUTE	latin
U+00DE	LATIN CAPITAL LETTER THORN	latin
U+00DF	LATIN SMALL LETTER SHARP S	latin
U+00E0	LATIN SMALL LETTER A WITH GRAVE	latin
U+00E1	LATIN SMALL LETTER A WITH ACUTE	latin
U+00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX	latin
U+00E3	LATIN SMALL LETTER A WITH TILDE	latin
U+00E4	LATIN SMALL LETTER A WITH DIAERESIS	latin
U+00E5	LATIN SMALL LETTER A WITH RING ABOVE	latin
U+00E6	LATIN SMALL LETTER AE	latin
U+00E7	LATIN SMALL LETTER C WITH CEDILLA	latin
U+00E8	LATIN SMALL LETTER E WITH GRAVE	latin
U+00E9	LATIN SMALL LETTER E WITH ACUTE	latin
U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	latin
U+00EB	LATIN SMALL LETTER E WITH DIAERESIS	latin
U+00EC	LATIN SMALL LETTER I WITH GRAVE	latin
U+00ED	LATIN SMALL LETTER I WITH ACUTE	latin
U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	latin
U+00EF	LATIN SMALL LETTER I WITH DIAERESIS	latin
U+00F0	LATIN SMALL LETTER ETH	latin
U+00F1	LATIN SMALL LETTER N WITH TILDE	latin
U+00F2	LATIN SMALL LETTER O WITH GRAVE	latin
U+00F3	LATIN SMALL LETTER O WITH ACUTE	latin
U+00F4	LATIN SMALL LETTER O WITH CIRCUMFLEX	latin
U+00F5	LATIN SMALL LETTER O WITH TILDE	latin
U+00F6	LATIN SMALL LETTER O WITH DIAERESIS	latin
U+00F8	LATIN SMALL LETTER O WITH STROKE	latin
U+00F9	LATIN SMALL LETTER U WITH GRAVE	latin
U+00FA	LATIN SMALL LETTER U WITH ACUTE	latin
U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	latin
U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	latin
U+00FD	LATIN SMALL LETTER Y WITH ACUTE	latin
U+00FE	LATIN SMALL LETTER THORN	latin
U+00FF	LATIN SMALL LETTER Y WITH DIAERESIS	latin
U+0100	LATIN CAPITAL LETTER A WITH MACRON	latin-ext
U+0101	LATIN SMALL LETTER A WITH MACRON	latin-ext
U+0102	LATIN CAPITAL LETTER A WITH BREVE	latin-ext,vietnamese
U+0103	LATIN SMALL LETTER A WITH BREVE	latin-ext,vietnamese
U+0104	LATIN CAPITAL LETTER A WITH OGONEK	latin-ext
U+0105	LATIN SMALL LETTER A WITH OGONEK	latin-ext
U+0106	LATIN CAPITAL LETTER C WITH ACUTE	latin-ext
U+0107	LATIN SMALL LETTER C WITH ACUTE	latin-ext
U+0108	LATIN CAPITAL LETTER C WITH CIRCUMFLEX	latin-ext
U+0109	LATIN SMALL LETTER C WITH CIRCUMFLEX	latin-ext
U+010A	LATIN CAPITAL LETTER C WITH DOT ABOVE	latin-ext
U+010B	LATIN SMALL LETTER C WITH DOT ABOVE	latin-ext
U+010C	LATIN CAPITAL LETTER C WITH CARON	latin-ext
U+010D	LATIN SMALL LETTER C WITH CARON	latin-ext
U+010E	LATIN CAPITAL LETTER D WITH CARON	latin-ext
U+010F	LATIN SMALL LETTER D WITH CARON	latin-ext
U+0110	LATIN CAPITAL LETTER D WITH STROKE	latin-ext,vietnamese
U+0111	LATIN SMALL LETTER D WITH STROKE	latin-ext,vietnamese
U+0112	LATIN CAPITAL LETTER E WITH MACRON	latin-ext
U+0113	LATIN SMALL LETTER E WITH MACRON	latin-ext
U+0114	LATIN CAPITAL LETTER E WITH BREVE	latin-ext
U+0115	LATIN SMALL LETTER E WITH BREVE	latin-ext
U+0116	LATIN CAPITAL LETTER E WITH DOT ABOVE	latin-ext
U+0117	LATIN SMALL LETTER E WITH DOT ABOVE	latin-ext
U+0118	LATIN CAPITAL LETTER E WITH OGONEK	latin-ext
U+0119	LATIN SMALL LETTER E WITH OGONEK	latin-ext
U+011A	LATIN CAPITAL LETTER E WITH CARON	latin-ext
U+011B	LATIN SMALL LETTER E WITH CARON	latin-ext
U+011C	LATIN CAPITAL LETTER G WITH CIRCUMFLEX	latin-ext
U+011D	LATIN SMALL LETTER G WITH CIRCUMFLEX	latin-ext
U+011E	LATIN CAPITAL LETTER G WITH BREVE	latin-ext
U+011F	LATIN SMALL LETTER G WITH BREVE	latin-ext
U+0120	LATIN CAPITAL LETTER G WITH DOT ABOVE	latin-ext
U+0121	LATIN SMALL LETTER G WITH DOT ABOVE	latin-ext
U+0122	LATIN CAPITAL LETTER G WITH CEDILLA	latin-ext
U+0123	LATIN SMALL LETTER G WITH CEDILLA	latin-ext
U+0124	LATIN CAPITAL LETTER H WITH CIRCUMFLEX	latin-ext
U+0125	LATIN SMALL LETTER H WITH CIRCUMFLEX	latin-ext
U+0126	LATIN CAPITAL LETTER H WITH STROKE	latin-ext
U+0127	LATIN SMALL LETTER H WITH STROKE	latin-ext
U+0128	LATIN CAPITAL LETTER I WITH TILDE	latin-ext,vietnamese
U+0129	LATIN SMALL LETTER I WITH TILDE	latin-ext,vietnamese
U+012A	LATIN CAPITAL LETTER I WITH MACRON	latin-ext
U+012B	LATIN SMALL LETTER I WITH MACRON	latin-ext
U+012C	LATIN CAPITAL LETTER I WITH BREVE	latin-ext
U+012D	LATIN SMALL LETTER I WITH BREVE	latin-ext
U+012E	LATIN CAPITAL LETTER I WITH OGONEK	latin-ext
U+012F	LATIN SMALL LETTER I WITH OGONEK	latin-ext
U+0130	LATIN CAPITAL LETTER I WITH DOT ABOVE	latin-ext
U+0131	LATIN SMALL LETTER DOTLESS I	canadian-aboriginal,latin
U+0132	LATIN CAPITAL LIGATURE IJ	latin-ext
U+0133	LATIN SMALL LIGATURE IJ	latin-ext
U+0134	LATIN CAPITAL LETTER J WITH CIRCUMFLEX	latin-ext
U+0135	LATIN SMALL LETTER J WITH CIRCUMFLEX	latin-ext
U+0136	LATIN CAPITAL LETTER K WITH CEDILLA	latin-ext
U+0137	LATIN SMALL LETTER K WITH CEDILLA	latin-ext
U+0138	LATIN SMALL LETTER KRA	latin-ext
U+0139	LATIN CAPITAL LETTER L WITH ACUTE	latin-ext
U+013A	LATIN SMALL LETTER L WITH ACUTE	latin-ext
U+013B	LATIN CAPITAL LETTER L WITH CEDILLA	latin-ext
U+013C	LATIN SMALL LETTER L WITH CEDILLA	latin-ext
U+013D	LATIN CAPITAL LETTER L WITH CARON	latin-ext
U+013E	LATIN SMALL LETTER L WITH CARON	latin-ext
U+013F	LATIN CAPITAL LETTER L WITH MIDDLE DOT	latin-ext
U+0140	LATIN SMALL LETTER L WITH MIDDLE DOT	latin-ext
U+0141	LATIN CAPITAL LETTER L WITH STROKE	latin-ext
U+0142	LATIN SMALL LETTER L WITH STROKE	latin-ext
U+0143	LATIN CAPITAL LETTER N WITH ACUTE	latin-ext
U+0144	LATIN SMALL LETTER N WITH ACUTE	latin-ext
U+0145	LATIN CAPITAL LETTER N WITH CEDILLA	latin-ext
U+0146	LATIN SMALL LETTER N WITH CEDILLA	latin-ext
U+0147	LATIN CAPITAL LETTER N WITH CARON	latin-ext
U+0148	LATIN SMALL LETTER N WITH CARON	latin-ext
U+0149	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE	latin-ext
U+014A	LATIN CAPITAL LETTER ENG	latin-ext
U+014B	LATIN SMALL LETTER ENG	latin-ext
U+014C	LATIN CAPITAL LETTER O WITH MACRON	latin-ext
